location_name,date,ili,pred_hosp,true_hosp,scale_factor,population,prelim_hosp,total_hosp
Alabama,1999-07-31,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-08-07,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-08-14,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-08-21,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-08-28,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-09-04,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-09-11,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-09-18,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-09-25,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-10-02,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-10-09,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-10-16,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-10-23,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-10-30,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-11-06,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-11-13,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-11-20,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-11-27,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-12-04,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-12-11,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-12-18,NA,NA,NA,1,5039877,NA,NA
Alabama,1999-12-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-01-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-01-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-01-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-01-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-01-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-02-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-02-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-02-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-02-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-03-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-03-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-03-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-03-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-04-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-04-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-04-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-04-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-04-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-05-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-05-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-05-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-05-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-06-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-06-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-06-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-06-24,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-07-01,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-07-08,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-07-15,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-07-22,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-07-29,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-08-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-08-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-08-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-08-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-09-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-09-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-09-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-09-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-09-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-10-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-10-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-10-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-10-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-11-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-11-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-11-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-11-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-12-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-12-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-12-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-12-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2000-12-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-01-06,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-01-13,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-01-20,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-01-27,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-02-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-02-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-02-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-02-24,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-03-03,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-03-10,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-03-17,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-03-24,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-03-31,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-04-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-04-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-04-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-04-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-05-05,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-05-12,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-05-19,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-05-26,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-06-02,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-06-09,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-06-16,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-06-23,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-06-30,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-07-07,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-07-14,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-07-21,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-07-28,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-08-04,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-08-11,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-08-18,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-08-25,NA,NA,NA,1,5039877,NA,NA
Alabama,2001-09-01,NA,NA,NA,1,5039877,NA,NA
