date,location_name,ili
1997-10-04,US,-0.27771792516785554
1997-10-11,US,-0.1735040649770073
1997-10-18,US,-0.24444365092519424
1997-10-25,US,-0.39600690749091305
1997-11-01,US,-0.20451978456351227
1997-11-08,US,-0.1683517684816057
1997-11-15,US,0.013540607008387938
1997-11-22,US,0.19416081221315087
1997-11-29,US,0.22183421409724802
1997-12-06,US,0.1683517684816057
1997-12-13,US,0.28828803396471914
1997-12-20,US,0.5504085834143033
1997-12-27,US,1.0441384539486376
1998-01-03,US,1.2388663333548613
1998-01-10,US,1.2066967441872805
1998-01-17,US,1.2316071168216292
1998-01-24,US,1.5625290700446095
1998-01-31,US,1.6419146298935658
1998-02-07,US,1.6163926194768012
1998-02-14,US,1.2916197561259974
1998-02-21,US,1.0210624584626036
1998-02-28,US,0.56921536710009
1998-03-07,US,0.006770148340738796
1998-03-14,US,0.05249234550729728
1998-03-21,US,-0.4817553611112654
1998-03-28,US,-0.6320619649725463
1998-04-04,US,-1.1556959708680001
1998-04-11,US,-0.8826088033345779
1998-04-18,US,-1.3566833767724804
1998-04-25,US,-1.287731921059542
1998-05-02,US,-1.242520546556882
1998-05-09,US,-1.4280592186184335
1998-05-16,US,-1.4375071716219725
1998-05-23,US,-1.3959555314573164
1998-05-30,US,-1.851164804524784
1998-06-06,US,-1.851164804524784
1998-06-13,US,-1.851164804524784
1998-06-20,US,-1.851164804524784
1998-06-27,US,-1.851164804524784
1998-07-04,US,-1.851164804524784
1998-07-11,US,-1.851164804524784
1998-07-18,US,-1.851164804524784
1998-07-25,US,-1.851164804524784
1998-08-01,US,-1.851164804524784
1998-08-08,US,-1.851164804524784
1998-08-15,US,-1.851164804524784
1998-08-22,US,-1.851164804524784
1998-08-29,US,-1.851164804524784
1998-09-05,US,-1.851164804524784
1998-09-12,US,-1.851164804524784
1998-09-19,US,-1.851164804524784
1998-09-26,US,-1.851164804524784
1998-10-03,US,-1.851164804524784
1998-10-10,US,-1.2352285886033019
1998-10-17,US,-1.0828711221730574
1998-10-24,US,-0.7936247672446046
