location,n_forecasts,actual_mean,actual_std,model_median_mean,mean_bias_applied,date_range
Alabama,57,142.0,207.600493526101,70.13350061528556,0.0,2024-09-28 to 2025-10-25
Alaska,57,15.333333333333334,17.01530099164447,11.410963890432765,0.0,2024-09-28 to 2025-10-25
Arizona,57,357.56140350877195,577.6850054552694,270.83654709651347,0.0,2024-09-28 to 2025-10-25
Arkansas,57,90.96491228070175,161.31835854588797,61.020983058518546,0.0,2024-09-28 to 2025-10-25
California,57,861.438596491228,1280.6203132000078,485.908738533143,0.0,2024-09-28 to 2025-10-25
Colorado,57,128.0701754385965,196.4781903569303,69.93926039624847,0.0,2024-09-28 to 2025-10-25
Connecticut,57,81.14035087719299,139.44217673468978,72.32256996826091,0.0,2024-09-28 to 2025-10-25
Delaware,57,34.6140350877193,61.41511168570151,22.66044857886887,0.0,2024-09-28 to 2025-10-25
District of Columbia,57,29.49122807017544,55.397486423127674,20.626290183102643,0.0,2024-09-28 to 2025-10-25
Florida,57,765.0175438596491,966.38426288504,520.9965414673927,0.0,2024-09-28 to 2025-10-25
Georgia,57,219.3859649122807,362.3567474666303,129.08109602331632,0.0,2024-09-28 to 2025-10-25
Hawaii,57,28.31578947368421,31.09191686841083,31.319117927833858,0.0,2024-09-28 to 2025-10-25
Idaho,57,49.29824561403509,71.42238209125202,23.593601884957526,0.0,2024-09-28 to 2025-10-25
Illinois,57,388.17543859649123,643.415423981886,246.44220177337644,0.0,2024-09-28 to 2025-10-25
Indiana,57,252.96491228070175,455.803626726766,165.60550280804054,0.0,2024-09-28 to 2025-10-25
Iowa,57,76.40350877192982,145.1367001901121,46.772140861454574,0.0,2024-09-28 to 2025-10-25
Kansas,57,79.42105263157895,133.53965799919172,50.73276067248903,0.0,2024-09-28 to 2025-10-25
Kentucky,57,180.19298245614036,302.67986901782683,124.87077495555398,0.0,2024-09-28 to 2025-10-25
Louisiana,57,154.47368421052633,185.30970806725279,97.43580450588821,0.0,2024-09-28 to 2025-10-25
Maine,57,37.91228070175438,69.1733851824921,20.220504273601723,0.0,2024-09-28 to 2025-10-25
Maryland,57,148.4561403508772,263.7534115635642,55.9488086541822,0.0,2024-09-28 to 2025-10-25
Massachusetts,57,238.78947368421052,426.65544407562896,160.87652144326128,0.0,2024-09-28 to 2025-10-25
Michigan,57,318.7719298245614,510.1007130534903,211.50917073357775,0.0,2024-09-28 to 2025-10-25
Minnesota,57,149.71929824561403,278.1657182698116,57.625466940053734,0.0,2024-09-28 to 2025-10-25
Mississippi,57,76.50877192982456,115.35865092877032,43.02798619544392,0.0,2024-09-28 to 2025-10-25
Missouri,57,222.91228070175438,372.05994992798196,139.97081060296483,0.0,2024-09-28 to 2025-10-25
Montana,57,31.842105263157894,53.87698446662536,16.191059627268352,0.0,2024-09-28 to 2025-10-25
Nebraska,57,49.91228070175438,89.95111356531672,32.442035310204616,0.0,2024-09-28 to 2025-10-25
Nevada,57,60.19298245614035,82.1198180231641,23.6541882532632,0.0,2024-09-28 to 2025-10-25
New Hampshire,57,35.43859649122807,60.4512323511027,30.060550951750308,0.0,2024-09-28 to 2025-10-25
New Jersey,57,302.64912280701753,510.6178401109595,125.76762926287775,0.0,2024-09-28 to 2025-10-25
New Mexico,57,66.82456140350877,90.79534009354428,31.036019649583164,0.0,2024-09-28 to 2025-10-25
New York,57,574.4035087719299,916.6187839420529,254.69946746674145,0.0,2024-09-28 to 2025-10-25
North Carolina,57,304.8421052631579,540.3433537867685,132.02198649772495,0.0,2024-09-28 to 2025-10-25
North Dakota,57,16.912280701754387,28.295607930061035,10.137021256306006,0.0,2024-09-28 to 2025-10-25
Ohio,57,492.36842105263156,924.6673680080369,360.293298341541,0.0,2024-09-28 to 2025-10-25
Oklahoma,57,125.47368421052632,251.02310687399316,75.0464710788517,0.0,2024-09-28 to 2025-10-25
Oregon,57,113.24561403508773,170.4729520863765,60.18143845250652,0.0,2024-09-28 to 2025-10-25
Pennsylvania,57,789.7368421052631,1205.9044582083895,513.2683029580639,0.0,2024-09-28 to 2025-10-25
Puerto Rico,57,237.42105263157896,228.343227909709,165.08675748051436,0.0,2024-09-28 to 2025-10-25
Rhode Island,57,29.50877192982456,51.19762974468935,14.971307743044905,0.0,2024-09-28 to 2025-10-25
South Carolina,57,154.78947368421052,288.9520531368547,61.37957840082389,0.0,2024-09-28 to 2025-10-25
South Dakota,57,21.912280701754387,43.98296348877074,17.636161665835697,0.0,2024-09-28 to 2025-10-25
Tennessee,57,200.31578947368422,283.8297709429008,69.51825512595963,0.0,2024-09-28 to 2025-10-25
Texas,57,690.2280701754386,1051.3211741146897,478.3087815668234,0.0,2024-09-28 to 2025-10-25
US,57,10098.631578947368,15083.357658948975,5637.682421042528,0.0,2024-09-28 to 2025-10-25
Utah,57,57.75438596491228,88.25586421582767,32.64804773687626,0.0,2024-09-28 to 2025-10-25
Vermont,57,16.280701754385966,30.40934435447342,13.45445370005546,0.0,2024-09-28 to 2025-10-25
Virginia,57,192.859649122807,322.27472418030385,144.91727842301037,0.0,2024-09-28 to 2025-10-25
Washington,57,132.57894736842104,205.37795260552147,87.37744792358465,0.0,2024-09-28 to 2025-10-25
West Virginia,57,84.50877192982456,161.7133182254149,42.47273012005122,0.0,2024-09-28 to 2025-10-25
Wisconsin,57,163.9298245614035,309.81159298125567,91.62299588294297,0.0,2024-09-28 to 2025-10-25
Wyoming,57,20.771929824561404,33.19375207742463,12.949063348655924,0.0,2024-09-28 to 2025-10-25
